scenario,scenario_type,scenario_geography,technology,mean,median,min,max,percentile_2.5,percentile_5,percentile_95,percentile_97.5
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10REST_ASIA,CoalCap,0.7780114515684057,0.7794589475978906,0.7517255125557296,0.7998576557371936,0.754257555464471,0.756839093263484,0.7942244848923694,0.7969563808759976
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10REST_ASIA,CoalCap,0.5844494404119082,0.6071906146094814,0.42684747595384465,0.7518928842635448,0.42863762136938033,0.43235719760993696,0.691869708873668,0.7146914739964125
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10REF_ECON,CoalCap,0.8688760942343519,0.8459759798519153,0.716890262849104,1.1175842844639643,0.7200998109694633,0.7233181074678545,1.0826902627312536,1.1000349948802692
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10REF_ECON,CoalCap,0.5745977909008317,0.556555546333944,0.3944828448521913,0.841713312632083,0.39919727753062884,0.4034032392918226,0.8085340740707918,0.8249137925572942
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10PAC_OECD,CoalCap,0.7503155318507695,0.7551472927700914,0.6861387197224941,0.8012639350988902,0.6917080057337114,0.6972713733332896,0.7941653033336358,0.7976890886314393
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10PAC_OECD,CoalCap,0.4549025602717954,0.43737660022817043,0.3932678204032528,0.6117003525603949,0.39565391791354265,0.3989028020991354,0.56524243534236,0.5884557433728134
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10NORTH_AM,CoalCap,0.7763277990621261,0.7761691767123375,0.7295746729399594,0.830183264171003,0.7307257049182302,0.7318309707306979,0.8231186248732135,0.8265432196532742
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10NORTH_AM,CoalCap,0.7364948781942895,0.7137410885904107,0.39333528306126303,1.1169551472693082,0.393769081737901,0.39458126509902536,1.0801528064384145,1.0983891660626526
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10MIDDLE_EAST,CoalCap,1.029707393036421,1.0563298265685916,0.860420802056221,1.1549442312434068,0.8703253018420305,0.8803337904872827,1.1388958630824408,1.146917201679906
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10MIDDLE_EAST,CoalCap,0.6330143988483434,0.5836984884044275,0.4146995310282951,0.9038788798442481,0.420508465176343,0.4247164219198614,0.8859810562238507,0.8948939195721537
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10LATIN_AM,CoalCap,0.7901837920988003,0.7858226534228917,0.7216331069964473,0.8471152511335072,0.7248270106143996,0.7283130928543197,0.8453420342231646,0.8462284477764521
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10LATIN_AM,CoalCap,0.6977576814568388,0.6845937781273357,0.5800127308194006,0.8621933753345219,0.5814943905505939,0.5828128195228088,0.8455336685600465,0.8538298862409037
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10INDIA+,CoalCap,0.7953246438993795,0.7797469901742102,0.74759480955934,0.8626945755171462,0.752131058523766,0.7549280555505259,0.8529952773747627,0.8576865292673262
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10INDIA+,CoalCap,0.6586506423758508,0.6840211167230068,0.43257007523576435,0.8323088633511686,0.4333273561717472,0.4370756561409962,0.8317598162414572,0.8320346865622493
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10EUROPE,CoalCap,0.7301306239756898,0.7211373195322777,0.7105265723578769,0.7769826308455926,0.711054715255246,0.71157520142351,0.7650864339286066,0.769556794486354
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10EUROPE,CoalCap,0.6251615715988013,0.6456496201959792,0.3723405610034416,0.7903592099490279,0.389539377978044,0.4049922543946942,0.777928045897095,0.7839931873105277
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10CHINA+,CoalCap,0.8954322071900014,0.8914952411061008,0.8711550986484525,0.9344577226862923,0.87158859818389,0.8720007415939208,0.9288214205265761,0.9315617092244619
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10CHINA+,CoalCap,0.4939999456653413,0.454406043921753,0.41402483894607806,0.8529447346748095,0.41846868040275126,0.4212982585985562,0.7476810752483751,0.8009051666258393
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10AFRICA,CoalCap,0.8880634744337997,0.8853666746787929,0.8253930691760133,0.9723002622225261,0.8256711157361932,0.8258581365715126,0.9635089345210239,0.967903108887966
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10AFRICA,CoalCap,0.7346557288176421,0.7300552907308856,0.5964945991712448,0.9607170774462186,0.5974344498304972,0.6014664592991454,0.8891159036191105,0.9242856368919937
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,JPN,CoalCap,0.7503155318507695,0.7551472927700914,0.6861387197224941,0.8012639350988902,0.6917080057337114,0.6972713733332896,0.7941653033336358,0.7976890886314393
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,JPN,CoalCap,0.4549025602717954,0.43737660022817043,0.3932678204032528,0.6117003525603949,0.39565391791354265,0.3989028020991354,0.56524243534236,0.5884557433728134
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,IND,CoalCap,0.7953246438993795,0.7797469901742102,0.74759480955934,0.8626945755171462,0.752131058523766,0.7549280555505259,0.8529952773747627,0.8576865292673262
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,IND,CoalCap,0.6586506423758508,0.6840211167230068,0.43257007523576435,0.8323088633511686,0.4333273561717472,0.4370756561409962,0.8317598162414572,0.8320346865622493
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,Global,CoalCap,0.7946930541117918,0.791906819948279,0.7707886051219708,0.8343158255048709,0.7730195608380079,0.7751753357212554,0.8227155736176217,0.8285040444065972
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,Global,CoalCap,0.5576088838093296,0.5659869687610615,0.41992235686086427,0.768457018178703,0.4246751497384398,0.42834532640407547,0.6928714971569431,0.7275898816398239
